SITE,DESC,JAN,FEB,MAR,APRIL,MAY,JUNE,TOTAL
"6 - 1776 Post Road, RI ",OM LNCHBL PIZZA PEPP,9.00,7.00,1.00,5.00,15.00,3.00,40.00
"5 - 965 Fall River Ave, MA",1.5OZ ROLTINI SALAMI SPCY MOZZ CHSE,2.00,3.00,4.00,9.00,14.00,7.00,39.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI FLIP ALMND COCO,2.00,3.00,6.00,7.00,11.00,10.00,39.00
"1- 533 East Main Rd, RI",CHOBANI GRK YOGURT PEACH,8.00,9.00,13.00,6.00,0,2.00,38.00
"5 - 965 Fall River Ave, MA",OM LNCHBL HAM CHEDDAR,3.00,6.00,5.00,15.00,6.00,3.00,38.00
"5 - 965 Fall River Ave, MA",FIORUCCI PANINOS PPRNI MOZZ 2PK,0,4.00,6.00,10.00,6.00,11.00,37.00
"2 - 3302 East Main Rd, RI",OM LNCHBL TURKEY AMER,1.00,10.00,7.00,3.00,5.00,10.00,36.00
"6 - 1776 Post Road, RI ",VAN HOLTEN PICKLE HOT    I W 612,9.00,5.00,5.00,11.00,3.00,3.00,36.00
"2 - 3302 East Main Rd, RI",1.5OZ ROLTINI MOZZ PEPPRONI,4.00,5.00,6.00,11.00,1.00,8.00,35.00
"1- 533 East Main Rd, RI",CHOBANI GRK YOGURT BLK CHERRY,6.00,2.00,6.00,5.00,9.00,6.00,34.00
"6 - 1776 Post Road, RI ",CHOBANI GRK YOGURT BLK CHERRY,4.00,6.00,9.00,6.00,8.00,1.00,34.00
"2 - 3302 East Main Rd, RI",OM LNCHBL HAM CHEDDAR,5.00,4.00,6.00,10.00,5.00,3.00,33.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI FLIP SLTED CARML,0,0,1.00,15.00,10.00,7.00,33.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI FLIP KEY LIME CRUMB,3.00,10.00,4.00,5.00,5.00,5.00,32.00
"5 - 965 Fall River Ave, MA",VAN HOLTEN PICKLE BIG PAPA DILL,10.00,11.00,11.00,0,0,0,32.00
"6 - 1776 Post Road, RI ",VAN HOLTEN PICKLE DILL   I W 612,11.00,11.00,0,2.00,4.00,3.00,31.00
"1- 533 East Main Rd, RI",OM LNCHBL TURKEY AMER,4.00,7.00,3.00,8.00,6.00,2.00,30.00
"5 - 965 Fall River Ave, MA",OM LNCHBL PIZZA PEPP,5.00,2.00,7.00,2.00,7.00,7.00,30.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI FLIP PNUT BTR DREAM,0,0,2.00,6.00,16.00,5.00,29.00
"1- 533 East Main Rd, RI",VAN HOLTEN PICKLE HOT    I W 612,4.00,7.00,6.00,1.00,6.00,4.00,28.00
"1- 533 East Main Rd, RI",OM LNCHBL PIZZA PEPP,4.00,5.00,5.00,4.00,4.00,6.00,28.00
"2 - 3302 East Main Rd, RI",FIORUCCI PANINOS PPRNI MOZZ 2PK,3.00,4.00,3.00,9.00,8.00,1.00,28.00
"2 - 3302 East Main Rd, RI",FIORUCCI PANINOS SALAMI JACK 2PK,7.00,6.00,5.00,5.00,3.00,2.00,28.00
"6 - 1776 Post Road, RI ",1.5OZ ROLTINI SALAMI SPCY MOZZ CHSE,5.00,5.00,2.00,5.00,8.00,3.00,28.00
"6 - 1776 Post Road, RI ",OM LNCHBL TURKEY AMER,0,0,0,13.00,9.00,5.00,27.00
"5 - 965 Fall River Ave, MA",5.3OZ CHOBANI FLIP ALMND COCO,3.00,7.00,4.00,5.00,1.00,6.00,26.00
"6 - 1776 Post Road, RI ",CABOT CRACKER CUTS VT SHRP CHED,2.00,8.00,5.00,3.00,6.00,2.00,26.00
"1- 533 East Main Rd, RI",8OZ CABOT SOUR CRM,4.00,9.00,6.00,0,4.00,2.00,25.00
"2 - 3302 East Main Rd, RI",1.5OZ ROLTINI SALAMI SPCY MOZZ CHSE,4.00,4.00,9.00,5.00,3.00,0,25.00
"5 - 965 Fall River Ave, MA",5.3OZ CHOBANI GRK YOG BLUBRY,2.00,1.00,5.00,9.00,7.00,1.00,25.00
"1- 533 East Main Rd, RI",CHOBANI DRINK STRABERRY BANANA,0,0,0,0,9.00,14.00,23.00
"1- 533 East Main Rd, RI",OM LNCHBL HAM CHEDDAR,4.00,5.00,6.00,3.00,4.00,1.00,23.00
"2 - 3302 East Main Rd, RI",1.5OZ FIORUCCI PANINOS SALAMI MOZZ,2.00,5.00,8.00,5.00,3.00,0,23.00
"1- 533 East Main Rd, RI",CABOT CRACKER CUTS VT SHRP CHED,1.00,3.00,4.00,3.00,4.00,6.00,21.00
"5 - 965 Fall River Ave, MA",7OZ CHOBANI DRINK MIXED BRY,0,0,0,5.00,4.00,12.00,21.00
"5 - 965 Fall River Ave, MA",CHOBANI GRK YOGURT PEACH,3.00,2.00,6.00,3.00,3.00,4.00,21.00
"5 - 965 Fall River Ave, MA",CHOBANI GRK YOGURT BLK CHERRY,1.00,2.00,2.00,3.00,7.00,6.00,21.00
"5 - 965 Fall River Ave, MA",OM LNCHBL FN PK TRKY AMRCN,1.00,6.00,6.00,6.00,2.00,0,21.00
"6 - 1776 Post Road, RI ",1.5OZ ROLTINI MOZZ PEPPRONI,4.00,0,6.00,5.00,3.00,2.00,20.00
"5 - 965 Fall River Ave, MA",HILLANDALE EGGS GRD A CF LG BRWN,0,2.00,6.00,9.00,2.00,0,19.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI GRK YOG VANL,0,0,1.00,9.00,2.00,7.00,19.00
"6 - 1776 Post Road, RI ",OM LNCHBL FN PK TRKY AMRCN,5.00,0,9.00,5.00,0,0,19.00
"2 - 3302 East Main Rd, RI",CHOBANI GRK YOGURT PEACH,1.00,2.00,2.00,2.00,7.00,4.00,18.00
"2 - 3302 East Main Rd, RI",5.3OZ CHOBANI FLIP SMORES,0,0,1.00,8.00,4.00,3.00,16.00
"2 - 3302 East Main Rd, RI",5.3OZ CHOBANI FLIP ALMND COCO,2.00,4.00,0,2.00,4.00,4.00,16.00
"2 - 3302 East Main Rd, RI",VAN HOLTEN PICKLE BIG PAPA DILL,1.00,2.00,3.00,7.00,2.00,1.00,16.00
"2 - 3302 East Main Rd, RI",KRAFT MAC   CHSE            1871,1.00,1.00,2.00,2.00,6.00,4.00,16.00
"2 - 3302 East Main Rd, RI",OM LNCHBL FN PK TRKY AMRCN,3.00,3.00,5.00,4.00,0,0,15.00
"5 - 965 Fall River Ave, MA",5.3OZ CHOBANI GRK YOG VANL,0,0,1.00,1.00,7.00,6.00,15.00
